PC1,PC2,PC3,PC4,PC5,PC6,target
0.15695037813147628,0.5703184705826668,0.6462000275749803,0.7065374378926185,-0.3970507496830655,0.9342092311747536,0.0
1.0825989446357558,0.018042592330663826,-0.07065416048661449,0.019114972522511695,0.4002267899033346,-0.22209736193836024,2.0
1.0428754950313928,0.005893665033924831,-0.07541969971776968,-0.09023018037174212,0.2298911067668744,-0.07206151681448239,1.0
-0.19097948021779143,-0.43465854529265935,0.23603508103129933,-0.025467630654347276,0.3572245330968097,0.8394334784472656,0.0
-0.4369240894379639,0.8263768396055221,-0.24470030682018418,-0.2380342384903243,-0.2565602664452119,-0.031759118711491605,0.0
-0.5741781132366748,-0.3727193313433942,0.47523240608120976,-0.166809644674736,-0.1506295103653209,0.0006475105367773071,0.0
0.15522944125891924,0.7416023254157866,-0.5743629500973713,0.13378739366210413,0.7929468362934112,0.4666222930578614,3.0
-0.11811305889974533,-0.46432349317018534,-0.9560126700510045,-0.15614306383914434,-0.337914294829725,-0.3327351532208902,0.0
0.29251473649575854,0.38478737903792565,0.35931129707584886,-0.15993665497047227,0.41075762117170367,0.05584375583909945,2.0
1.0970029870508653,0.06946209895482088,-0.034808503314732675,0.6318091093853274,-0.37021108383767287,0.534849677088979,1.0
-0.2919785248270689,-0.45381008618237695,0.2437379272152731,-0.12435885477684414,0.2582421982675652,0.16376641168732978,0.0
-0.324543199019496,0.8218452404273855,-0.3089846623454529,-0.1796631228557472,-0.12356983809084476,0.3804828864744486,0.0
0.8996590233862656,0.13231863680380435,0.1324657519129807,0.6731289127027559,-0.5270322731008477,0.0220104965778719,2.0
-0.5934640157117903,-0.3688907575040319,0.4823205509544003,-0.175349958279871,-0.1778905061985371,-0.035775705084547735,0.0
-0.4331195651952279,-0.3255403115651507,0.49320671221883416,0.7230679907772286,-0.355699567964351,-0.16329946469749942,0.0
-0.46636675505190583,-0.41554534060806,0.38321017237396204,-0.1646281851369808,0.01968356232588281,-0.08066147293059311,0.0
-0.33977338116218114,-0.3836968166193487,0.343119622594077,-0.045797256603014355,0.12898184426002157,0.8433431287193203,1.0
-0.3874842505798105,-0.4526284891136823,0.30182015597650014,-0.17525719600692807,0.14910514126726215,-0.216605279829951,0.0
